,Name,currentprice,formerprice,Reviews,Totalstars
0,NIVEA Waterlily & Oil Shower Gel For Women 250ml (Pack Of 2),KSh 952,"KSh 1,190","4.6 out of 5
(739)",
1,Velvex Shower Gel 5 Litres Ocean Breeze,KSh 750,N/A,"4.2 out of 5
(406)",
2,NIVEA Lemongrass & Oil Shower Gel For Women - 250ml (Pack Of 2).,KSh 952,"KSh 1,190","4.6 out of 5
(946)",
3,NIVEA MEN Cool Kick Shower Gel For Men - 500ml (Pack Of 2),"KSh 2,080",N/A,"4.7 out of 5
(66)",
4,GLOWFEEL Moisture & Glow Solution Body Wash Fragrance Shower Lotion With Hyaluronic Acid,KSh 500,KSh 800,"4 out of 5
(6)",
5,NIVEA Tropical Vibes Bundle.,KSh 892,"KSh 1,115","4.7 out of 5
(9)",
6,NIVEA MEN Deep Shower Gel - 500 Ml,KSh 832,"KSh 1,040","4.7 out of 5
(60)",
7,NIVEA Lemongrass & Oil Shower Gel For Women - 250 Ml,KSh 595,N/A,"4.7 out of 5
(56)",
8,NIVEA MEN Men Shower Active Clean For Men - 250ml,KSh 452,KSh 470,"4.6 out of 5
(21)",
9,NIVEA Diamond & Argan Shower Cream For Women - 500ml,KSh 764,KSh 955,"4.8 out of 5
(59)",
10,VERSMAN Versman Cool 3-in-1 Body Face & Hair Shower Gel 400ml,KSh 448,KSh 560,"5 out of 5
(2)",
11,NIVEA Aloe & Hydration Body Lotion For Women - 400 Ml,KSh 576,KSh 640,"4.6 out of 5
(30)",
12,"Dove Pampering Body Wash Nourishes & Skin Shea Butter With Warm Vanilla, Anti-Bacterial-500ml (Free Body Wash Loofah)",KSh 999,"KSh 1,499","3.9 out of 5
(8)",
13,VERSMAN Versman Extreme Ice 3-in-1 Body Face & Hair Shower Gel 200ml,KSh 267,KSh 280,"3 out of 5
(2)",
14,Dove Glowing Ritual Body Wash - 500ml,"KSh 1,114","KSh 1,115","4 out of 5
(4)",
15,Yoni Beauty Boric Acid Suppositories,"KSh 1,000","KSh 1,800","4 out of 5
(13)",
16,Hobby Marshmallow Vanilla Shower Gel - 500ml,KSh 499,N/A,"5 out of 5
(1)",
17,Sedoso Moisturizing & Smoothening Shower Gel For Men 1300ml,KSh 990,N/A,"4.3 out of 5
(9)",
18,Amara Amara Shower Gel Pamper Lilac - 600ml,KSh 490,N/A,"4.5 out of 5
(11)",
19,Dove Body Wash Men Active Fresh 400ml,KSh 750,N/A,N/A,N/A
20,Amara Amara Shower Gel Blk Earth Men - 600ml,KSh 490,N/A,"4 out of 5
(2)",
21,Pure Egyptian Gold Magic Whitening Shower Cream Gel,KSh 999,"KSh 1,180",N/A,N/A
22,DR RASHEL vitamin C Brightening and Anti aging Exfoliating silky shower gel,KSh 950,"KSh 1,300",N/A,N/A
23,Amara Amara Shower Gel Energizing - 400ml,KSh 217,KSh 390,"5 out of 5
(1)",
24,Dove Body Wash Men Hydrating Clean Comfort 400ml,KSh 750,N/A,N/A,N/A
25,Dove Reviving Pomegranate & Hibiscus Tea Shower Gel / Body Wash 250ml,KSh 680,N/A,"5 out of 5
(1)",
26,NIVEA MEN Cool Kick Shower Gel For Men - 500ml,KSh 832,"KSh 1,040","4.6 out of 5
(37)",
27,St Ives Pampering Vanilla & Oat Milk Body Wash - 650ml,"KSh 1,799",N/A,"5 out of 5
(1)",
28,Warachi Spark Shower Gel - 5L,"KSh 1,536",N/A,"4.4 out of 5
(5)",
29,VERSMAN Versman Cool 3-in-1 Body Face & Hair Shower Gel 200ml,KSh 267,KSh 280,"2.5 out of 5
(2)",
30,Dove Deeply Nourishing Body Wash - 750ml,"KSh 1,484","KSh 1,485","5 out of 5
(1)",
31,Dove Gentle Scrub Shower Gel / Body Wash 500m,KSh 879,"KSh 1,758","3.9 out of 5
(15)",
32,Dove Glowing Ritual Shower Gel/Body Wash 500ml,KSh 819,"KSh 1,299","4 out of 5
(6)",
33,Pure Egyptian Gold magic whitening shower cream gel _1000ml,"KSh 1,050","KSh 2,000","3.9 out of 5
(14)",
34,Disaar Arabica Coffee Shower Gel Skin Repair Brightening Rich Foam,KSh 549,KSh 800,"4.3 out of 5
(17)",
35,"VEET GOLD TURMERIC SHOWER GEL CREAM- Exfoliates, Cleans, Removes Dark Knuckles & Black Spots & Smooths-1L",KSh 850,N/A,N/A,N/A
36,African Black Soap Brightening Exfoliating Body Wash,KSh 699 - KSh 999,"KSh 799 - KSh 1,199",N/A,N/A
37,Dove Deeply Nourishing Shower Gel/Body Wash With 0%sulfate SLES,KSh 799,"KSh 1,599","4.8 out of 5
(4)",
38,Dove Pampering Body Wash/Shower Gel 500ml,KSh 920,"KSh 1,800",N/A,N/A
39,Dove Gentle Scrub Body Wash+Shea Butter & Warm Vanilla Body Wash,"KSh 1,599","KSh 2,000",N/A,N/A
